id,Area,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,OctEff,NovEff,DecEff,TotalEffor,Elevmean,RiverDist,RoadDist,VillDist,Ruggmean
2958,Ebo,0,0,0,0,0,0,0,0,2353.145929,0,0,0,2353.145929,930.2859848,1004.889849,4778.641984,5697.796761,22.66613297
2959,Ebo,0,0,0,0,0,0,0,0,3084.856466,0,0,0,3084.856466,858.2138672,149.5942029,4730.643916,5655.888712,24.2922066
2960,Ebo,0,0,0,0,0,0,0,0,1640.276782,0,0,0,1640.276782,753.1912879,777.1587041,4891.069873,5789.064374,30.88646246
2967,Ebo,0,171.6211791,0,0,0,0,0,0,0,0,0,0,171.6211791,663.9541016,2375.740115,9525.102258,10009.12537,34.59054574
2968,Ebo,0,2292.993022,0,0,1465.707913,0,0,0,0,0,0,0,3758.700935,494.9886364,2123.567564,10405.34217,10849.27555,34.01408106
2969,Ebo,0,144.9308533,0,0,1228.93124,0,0,0,0,0,0,0,1373.862093,409.7421875,1688.798204,11305.51716,11714.56227,28.04825429
3105,Ebo,0,0,0,0,0,0,0,0,1669.25481,0,0,0,1669.25481,941.8787879,148.1751115,4813.76624,5243.92713,38.60012989
3106,Ebo,0,0,0,0,0,0,0,0,2561.36503,0,0,0,2561.36503,894.6161616,917.9006343,4488.207025,5259.217992,35.63764497
3107,Ebo,0,0,0,0,0,0,0,0,1674.993301,0,0,0,1674.993301,727.2348485,42.92189572,4089.123386,4963.977571,28.35743905
3108,Ebo,0,0,0,0,0,0,0,0,2965.83631,0,0,0,2965.83631,701.513315,879.4263115,3791.835365,4707.999843,35.9595121
3109,Ebo,0,0,0,0,0,0,0,0,3399.722267,0,0,0,3399.722267,644.3626894,206.1709539,3732.737826,4657.193546,27.72542247
3110,Ebo,0,0,0,0,0,0,0,0,1746.107711,0,0,0,1746.107711,640.1900826,57.55201578,3934.06969,4818.053645,27.17555559
3111,Ebo,0,0,0,0,0,0,0,0,2032.886649,0,0,0,2032.886649,701.9744318,391.9995844,4361.247181,5170.863576,36.10171289
3118,Ebo,0,1214.842216,0,0,1466.178105,0,0,0,0,0,0,0,2681.020322,307.1230487,1360.291395,9991.270465,10363.7423,25.78248034
3119,Ebo,0,0,0,0,1238.908696,0,0,0,0,0,0,0,1238.908696,238.5606061,747.2549511,10925.61477,11266.38113,24.69315692
3254,Ebo,0,0,0,0,0,0,0,0,683.5701536,0,0,0,683.5701536,622.749053,317.1575763,3587.833898,3866.818777,45.65325397
